name,size_of_the_bottle,MRP_of_the_bottle,price_of_the_bottle,1mg_url,brand_name,key_benefits,key_ingredients,rating,number_of_rating
Dr Willmar Schwabe India Berberis Aquifolium Mother Tincture Q,30 ml,231,196.0,https://www.1mg.com/otc/dr-willmar-schwabe-india-berberis-aquifolium-mother-tincture-q-otc390797,Dr Willmar Schwabe India Pvt Ltd,"['Vision', 'Face', 'Pain', 'Legs', 'Scalp', 'Eyes', 'Digestion', 'Skin']",[],4.3,985
Dr. Reckeweg R78 Eye Care Drop | For Eye Care,22 ml,285,271.0,https://www.1mg.com/otc/dr.-reckeweg-r78-eye-care-drop-for-eye-care-otc327376,Dr Reckeweg & Co,[],"['Aconitum', 'Euphrasia', 'Belladonna', 'Hamamelis', 'Kalium carbonicum', 'Mercurius bijodatus']",4.5,168
Hapdco Rheumacon Pain Relief Oil,60 ml,175,164.0,https://www.1mg.com/otc/hapdco-rheumacon-pain-relief-oil-otc659823,HAPDCO,"['Breathing', 'Nose', 'Chest', 'Muscular', 'Relief']","['Peppermint, Kapoor, Gandhapuro tail, Nilgiri Tail, Chah tail, Ganjani tail']",4.4,281
Fourrts Gum Forte Gel Homoeopathic Toothpaste,100 gm,100,100.0,https://www.1mg.com/otc/fourrts-gum-forte-gel-homoeopathic-toothpaste-otc226835,Fourrts India Laboratories Pvt Ltd,['Teeth'],"['Plantago Q', 'Kreosotum Q', 'Calendula Q', 'Borax 6x Gel base tooth paste']",4.6,267
SBL Jaborandi Hair Oil,200 ml,270,270.0,https://www.1mg.com/otc/sbl-jaborandi-hair-oil-otc329035,SBL Pvt Ltd,"['Scalp', 'Circulation', 'Hair', 'Head']",['Extract of Jaborandi herb'],4.4,337
"SBL Cineraria Maritima 10% Eye Drop | For Clouding of Vision, Haziness & Eye Care",10 ml,135,129.0,https://www.1mg.com/otc/sbl-cineraria-maritima-10-eye-drop-for-clouding-of-vision-haziness-eye-care-otc329014,SBL Pvt Ltd,['Vision'],"['Cineraria maritima', 'Glycerinum', 'Phenyl Mercuric Nitrate', 'Aqua Distilled']",4.5,377
ADEL Diacard Gold Madaus Drop Homeopathic Medicine,25 ml,575,472.0,https://www.1mg.com/otc/adel-diacard-gold-madaus-drop-homeopathic-medicine-otc326050,Adel Pekana Germany,"['Relief', 'Heart']","['Cactus grandiflorus.2X, Crataegus, Strophantus 4X, Camphora 2X, Aether, Sulfuricus. 1X, Aurum. Mur. Natr. 4X, Valeriana, Alcohol']",4.6,470
Bjain Guatteria Gaumeri Drop,30 ml,365,307.0,https://www.1mg.com/otc/bjain-guatteria-gaumeri-drop-otc327159,Bjain Pharmaceuticals Pvt. Ltd.,['Blood'],"['Guatteria Gaumeri', 'Alcohol']",4.6,340
SBL Sarracenia Purpurea Dilution 1000 CH,30 ml,140,140.0,https://www.1mg.com/otc/sbl-sarracenia-purpurea-dilution-1000-ch-otc358168,SBL Pvt Ltd,"['Pain', 'Eyes', 'Skin']",[],4.7,29
Dr. Reckeweg Calcarea Phosphorica Biochemic Tablet 6X | Supports Strong Teeth & Bones | For Pain Relief,20 gm,200,168.0,https://www.1mg.com/otc/dr.-reckeweg-calcarea-phosphorica-biochemic-tablet-6x-supports-strong-teeth-bones-for-pain-relief-otc325463,Dr Reckeweg & Co,"['Bones', 'Pain', 'Teeth', 'Spine', 'Relief']",['Calcarea Phosphorica'],4.7,1180
Dr. Reckeweg R41 Sexual Neurasthenia Drop,22 ml,285,239.0,https://www.1mg.com/otc/dr.-reckeweg-r41-sexual-neurasthenia-drop-otc327434,Dr Reckeweg & Co,[],"['Acidum phosphoricum, Agnus castus, China, Conium, Damiana, Phosphorus, Sepia, Testis, Aqua, Ethanol']",4.1,1694
Dr Willmar Schwabe India Thyroidinum Trituration Tablet 3X,20 gm,200,168.0,https://www.1mg.com/otc/dr-willmar-schwabe-india-thyroidinum-trituration-tablet-3x-otc324953,Dr Willmar Schwabe India Pvt Ltd,"['Digestive system', 'Eyes']",['Thyroidinum 3X'],4.6,438
Bakson's Homeopathy Y-Lax Tablet,41 gm,215,177.0,https://www.1mg.com/otc/bakson-s-homeopathy-y-lax-tablet-otc400769,Bakson Drugs & Pharmaceuticals Pvt. ltd.,"['Muscular', 'Relief', 'Pain']","['Phenolphthalein 1x', 'Senna 1x', 'Sulphur 1x']",4.5,916
SBL Stobal Cough Syrup,180 ml,175,158.0,https://www.1mg.com/otc/sbl-stobal-cough-syrup-otc328988,SBL Pvt Ltd,['Chest'],[],4.6,1757
Dr. Reckeweg Berberis Vul Mother Tincture Q | For Liver Care,20 ml,270,243.0,https://www.1mg.com/otc/dr.-reckeweg-berberis-vul-mother-tincture-q-for-liver-care-otc327784,Dr Reckeweg & Co,"['Pain', 'Legs', 'Abdomen', 'Back', 'Relief']",['Berberis Vulgaris'],4.5,1004
"Dr. Reckeweg R73 Joint Pain Drop | Bone, Joint & Muscle Care",22 ml,285,234.0,https://www.1mg.com/otc/dr.-reckeweg-r73-joint-pain-drop-bone-joint-muscle-care-otc327364,Dr Reckeweg & Co,['Joints'],"['Acidum sulfuricum, Argentum, Arnica, Bryonia, Causticum Hahnemann, Ledum, Alcohol']",4.5,938
Dr Willmar Schwabe India Damiaplant Drop,30 ml,450,338.0,https://www.1mg.com/otc/dr-willmar-schwabe-india-damiaplant-drop-otc325889,Dr Willmar Schwabe India Pvt Ltd,[],[],4.0,883
SBL Arnica Montana Hair Oil with Tjc,200 ml,160,160.0,https://www.1mg.com/otc/sbl-arnica-montana-hair-oil-with-tjc-otc330951,SBL Pvt Ltd,"['Scalp', 'Circulation', 'Hair', 'Blood']",[],4.3,759
Hivet Leucocin Syrup,100 ml,180,175.0,https://www.1mg.com/otc/hivet-leucocin-syrup-otc964420,Gurudev Veterinaries,['Reproductive system'],[],0.0,0
SBL Scalptone Tablet,25 gm,165,162.0,https://www.1mg.com/otc/sbl-scalptone-tablet-otc326111,SBL Pvt Ltd,"['Scalp', 'Hair']","['Acidum fluoricum 3x', 'Acidum phosphoricum 3x', 'Natrum muriaticum 3x', 'Calcarea phosphorica 3x', 'Badiaga 3x']",4.3,477
Sett Dey Chininum Arsenicicum Dilution 200,30 ml,90,82.8,https://www.1mg.com/otc/sett-dey-chininum-arsenicicum-dilution-200-otc903605,Sett Dey & Co (Homeo) Lab,"['Stomach', 'Pain', 'Head', 'Heart']",[],0.0,0
Dr Bakshi's Flower Remedies Red Chestnu 30,30 ml,150,146.0,https://www.1mg.com/otc/dr-bakshi-s-flower-remedies-red-chestnu-30-otc975029,Bakson Drugs & Pharmaceuticals Pvt. ltd.,"['Well-being', 'Mental health', 'Emotional', 'Stress']",['Red Chestnut'],0.0,0
Bjain Acidum Muriaticum Globules 0/29 LM,6 gm,85,74.7,https://www.1mg.com/otc/bjain-acidum-muriaticum-globules-0-29-lm-otc824400,Bjain Pharmaceuticals Pvt. Ltd.,"['Lips', 'Tongue', 'Pain']",['Acidum muriaticum'],0.0,0
Bjain Azadirachta Indica Globules 0/26 LM,6 gm,85,79.0,https://www.1mg.com/otc/bjain-azadirachta-indica-globules-0-26-lm-otc964958,Bjain Pharmaceuticals Pvt. Ltd.,"['Shoulders', 'Oral', 'Hands', 'Back', 'Fingers', 'Gums', 'Skin']",[],0.0,0
Bjain Dioscorea Villosa Globules 0/30 LM,6 gm,85,74.7,https://www.1mg.com/otc/bjain-dioscorea-villosa-globules-0-30-lm-otc833449,Bjain Pharmaceuticals Pvt. Ltd.,"['Skin', 'Heart']",['Dioscorea villosa'],0.0,0
Radient 68 Slim Fit Drops,30 ml,130,126.0,https://www.1mg.com/otc/radient-68-slim-fit-drops-otc801907,Radient Pharma,[],"['Phytolacca berry q', 'Fucus vesiculosus q', 'Graphites 3x', 'Calcarea carbonica 3x', 'Spongia tosta 3x', 'Croton tiglium 3x', 'Natrum sulphuricum 3x']",0.0,0
SBL Arsenicum Album 0/5 LM,20 gm,200,200.0,https://www.1mg.com/otc/sbl-arsenicum-album-0-5-lm-otc360866,SBL Pvt Ltd,"['Breathing', 'Relief', 'Stress', 'Skin']",[],4.7,22
Wheezal Gelsemium Sempervirens Globules 0/2 LM,20 gm,180,174.0,https://www.1mg.com/otc/wheezal-gelsemium-sempervirens-globules-0-2-lm-otc892921,Wheezal Homoeo Pharma,"['Muscular', 'Spine', 'Pain']",['Gelsemium Sempervirens'],0.0,0
Wheezal Chininum Sulphuricum Globules 0/10 LM,20 gm,180,174.0,https://www.1mg.com/otc/wheezal-chininum-sulphuricum-globules-0-10-lm-otc890351,Wheezal Homoeo Pharma,"['Pain', 'Head', 'Neck', 'Spine', 'Blood']",['Chininum Sulphuricum'],0.0,0
Pioneer Pharma Antimoniu Tartaricum Globules Pellets Multidose Pills 1000 CH,150 tablets,150,150.0,https://www.1mg.com/otc/pioneer-pharma-antimoniu-tartaricum-globules-pellets-multidose-pills-1000-ch-otc904831,Homeotrade,"['Chest', 'Relief']",[],0.0,0
Dr Willmar Schwabe India Hekla Lava Dilution 12 CH,30 ml,125,125.0,https://www.1mg.com/otc/dr-willmar-schwabe-india-hekla-lava-dilution-12-ch-otc403736,Dr Willmar Schwabe India Pvt Ltd,"['Pain', 'Face']",[],4.6,27
Wheezal Calcarea Phosphorica Dilution CM,30 ml,335,311.0,https://www.1mg.com/otc/wheezal-calcarea-phosphorica-dilution-cm-otc932907,Wheezal Homoeo Pharma,"['Psychological', 'Pain']",['Calcarea Phosphorica'],0.0,0
Pioneer Pharma Plantago Q Mother Tincture,100 ml,230,177.0,https://www.1mg.com/otc/pioneer-pharma-plantago-q-mother-tincture-otc920348,Homeotrade,"['Throat', 'Digestion', 'Skin']",['Plantago'],0.0,0
Wheezal Allium Cepa Dilution 1M,30 ml,135,125.0,https://www.1mg.com/otc/wheezal-allium-cepa-dilution-1m-otc905387,Wheezal Homoeo Pharma,"['Throat', 'Nose', 'Pain', 'Relief', 'Skin']",['Bulb of the onion'],0.0,0
Dr. Majumder Homeo World Aqua Marina Dilution (30ml Each) 3 CH,2 bottles,520,467.0,https://www.1mg.com/otc/dr.-majumder-homeo-world-aqua-marina-dilution-30ml-each-3-ch-otc869069,Dr. Majumder Homeo World,"['Thoracic', 'Pain', 'Face']",[],0.0,0
