Brand Name,Average Discount
Allen Healthcare,0
New Life Laboratories Pvt Ltd,20
Renovision Exports Pvt Ltd,1.4
SBL Pvt Ltd,0.271375465
Boericke Homoeo Pharmacy,23.5
Gurudev Veterinaries,5
Dr Willmar Schwabe India Pvt Ltd,6.001855288
Bjain Pharmaceuticals Pvt. Ltd.,17.70462725
Radient Pharma,4
Medisynth Chemicals Pvt Ltd,3
Healing Herbs UK,225
Bhargava Phytolab,0
Bahola Labs,0
St. George’s Homoeopathy,0
HASLAB,0
Bakson Drugs & Pharmaceuticals Pvt. ltd.,7.173333333
Dr Reckeweg & Co,2.111111111
Dr. Romas Homeopathy,0
Ralson Remedies Pvt Ltd,0
Homeotrade,17.27777778
LDD Bioscience Pvt Ltd,4.392727273
Hering Pharma,0
Medilexicon,5
Nanak Laboratories Pvt Ltd,0
Sett Dey & Co (Homeo) Lab,20.1625
Rxhomeo Private Limited,40.5
Adel Pekana Germany,2.511627907
Adven Biotech Pvt Ltd,4.761904762
Kent Pharmaceuticals,0
Healwell International Limited,0
Lord's Homoeopathic Laboratory Pvt Ltd,5.414705882
Bio-India Pharma Pvt Ltd,44.66666667
German Homoeo Care and Cure Pvt. Ltd.,19
Hahnemann Publishing Co. Pvt. Ltd.,4
,19.2
HAPDCO,5.5
Hapro Homeo Chem Pvt Ltd,0
Father Muller Charitable Institutions,2.5
Wheezal Homoeo Pharma,9.710344828
Similia Homoeo Laboratory,10.1
Fourrts India Laboratories Pvt Ltd,0
Organon Homoeo Laboratory Pvt Ltd.,0
Guru Tegh Bahadur Pharma,0
Ankur Pharmaceutical,0
Dr Willmar Schwabe Germany,0
Allen Homoeo & Herbal Products Ltd,0.130434783
Boericke Research Laboratory,0
M Bhattacharyya & Co Pvt Ltd,0
Neon Homoeopathy,15
Dr. Majumder Homeo World,66.61904762
