_id,count
Adel Pekana Germany,43
Adven Biotech Pvt Ltd,42
Allen Healthcare,2
Allen Homoeo & Herbal Products Ltd,23
Ankur Pharmaceutical,1
Bahola Labs,7
Bakson Drugs & Pharmaceuticals Pvt. ltd.,105
Bhargava Phytolab,20
Bio-India Pharma Pvt Ltd,9
Bjain Pharmaceuticals Pvt. Ltd.,389
Boericke Homoeo Pharmacy,2
Boericke Research Laboratory,1
Dr Reckeweg & Co,153
Dr Willmar Schwabe Germany,1
Dr Willmar Schwabe India Pvt Ltd,539
Dr. Majumder Homeo World,21
Dr. Romas Homeopathy,1
Father Muller Charitable Institutions,2
Fourrts India Laboratories Pvt Ltd,1
German Homoeo Care and Cure Pvt. Ltd.,1
Guru Tegh Bahadur Pharma,2
Gurudev Veterinaries,1
HAPDCO,2
HASLAB,2
Hahnemann Publishing Co. Pvt. Ltd.,1
Hapro Homeo Chem Pvt Ltd,25
Healing Herbs UK,1
Healwell International Limited,20
Hering Pharma,1
Homeotrade,18
Kent Pharmaceuticals,1
LDD Bioscience Pvt Ltd,55
Lord's Homoeopathic Laboratory Pvt Ltd,34
M Bhattacharyya & Co Pvt Ltd,1
Medilexicon,20
Medisynth Chemicals Pvt Ltd,4
Nanak Laboratories Pvt Ltd,1
Neon Homoeopathy,1
New Life Laboratories Pvt Ltd,2
Organon Homoeo Laboratory Pvt Ltd.,1
Radient Pharma,1
Ralson Remedies Pvt Ltd,20
Renovision Exports Pvt Ltd,5
Rxhomeo Private Limited,8
SBL Pvt Ltd,269
Sett Dey & Co (Homeo) Lab,16
Similia Homoeo Laboratory,3
St. George’s Homoeopathy,21
Wheezal Homoeo Pharma,87
