Benefit Area,Total Medicines
Boericke Homoeo Pharmacy,1289
Healing Herbs UK,1275
Dr. Majumder Homeo World,897.4285714
Hering Pharma,660
Neon Homoeopathy,489
Dr. Romas Homeopathy,350
Guru Tegh Bahadur Pharma,349.5
Bio-India Pharma Pvt Ltd,347.7777778
Ralson Remedies Pvt Ltd,320
Boericke Research Laboratory,280
Hapro Homeo Chem Pvt Ltd,266.4
Adel Pekana Germany,262.9534884
St. George’s Homoeopathy,231.6666667
LDD Bioscience Pvt Ltd,225.6981818
Homeotrade,211.8888889
Bjain Pharmaceuticals Pvt. Ltd.,205.5087404
Dr Reckeweg & Co,196.745098
Wheezal Homoeo Pharma,196.4390805
Bakson Drugs & Pharmaceuticals Pvt. ltd.,183.8742857
Adven Biotech Pvt Ltd,177.6190476
Allen Healthcare,177.5
Gurudev Veterinaries,175
Lord's Homoeopathic Laboratory Pvt Ltd,173.5558824
Healwell International Limited,170
Allen Homoeo & Herbal Products Ltd,168.5652174
New Life Laboratories Pvt Ltd,167.5
Renovision Exports Pvt Ltd,166.6
Bhargava Phytolab,160
Kent Pharmaceuticals,160
Father Muller Charitable Institutions,157.5
Medilexicon,155
Bahola Labs,144.2857143
German Homoeo Care and Cure Pvt. Ltd.,141
SBL Pvt Ltd,136.3643123
Dr Willmar Schwabe India Pvt Ltd,134.1688312
Nanak Laboratories Pvt Ltd,130
HAPDCO,127
Radient Pharma,126
Hahnemann Publishing Co. Pvt. Ltd.,126
Ankur Pharmaceutical,120
Medisynth Chemicals Pvt Ltd,119.5
Dr Willmar Schwabe Germany,115
HASLAB,110
Rxhomeo Private Limited,109.5
Sett Dey & Co (Homeo) Lab,106.2125
Fourrts India Laboratories Pvt Ltd,100
M Bhattacharyya & Co Pvt Ltd,100
Similia Homoeo Laboratory,91.56666667
Organon Homoeo Laboratory Pvt Ltd.,42
