name,size_of_the_bottle,MRP_of_the_bottle,price_of_the_bottle,1mg_url,brand_name,key_benefits,key_ingredients,rating,number_of_rating
REPL Dr. Advice No. 112 Metrical-D,30 ml,180.0,173.0,https://www.1mg.com/otc/repl-dr.-advice-no.-112-metrical-d-otc900804,Renovision Exports Pvt Ltd,"['The drops can help strengthen bones in women', 'It helps increase calcium and vitamin D levels', 'It alleviates symptoms associated with joint pain', 'It may aid in reducing bone pain and bone destruction']","['Vitamin D 32', 'Natrum Mure 6', 'Calc Phos 6', 'Phosphorus 6', 'Aurum Met 6', 'Lachesis 6']",0.0,0
Wheezal Cimicifuga Racemosa Globules 0/17 LM,20 gm,180.0,174.0,https://www.1mg.com/otc/wheezal-cimicifuga-racemosa-globules-0-17-lm-otc890524,Wheezal Homoeo Pharma,"['This homoeopathy medicine can be helpful in acute and intolerable pains of limbs, muscles, spine or joints', 'It manages ovarian and premenstrual pains in females', 'It helps to prevent nausea, vomiting, uneasiness, depression and throat problems']",['Cimicifuga Racemosa'],0.0,0
Boericke Abrus Precatorius Dilution (30ml Each) 6,6 bottles,1560.0,1513.0,https://www.1mg.com/otc/boericke-abrus-precatorius-dilution-30ml-each-6-otc866792,Boericke Homoeo Pharmacy,"[""Boericke's Abrus Precatorius Dilution is beneficial for managing skin-related issues"", 'It helps in relieving conjunctivitis and inflammation on the face and neck', 'It may also prove helpful in ulcers, lupus and granular lids']",['Abrus Precatorius'],0.0,0
Bjain Apium Graveolens Dilution 6C,12 ml,60.0,60.0,https://www.1mg.com/otc/bjain-apium-graveolens-dilution-6c-otc831655,Bjain Pharmaceuticals Pvt. Ltd.,"['This homoeopathy product helps to manage blood pressure levels', 'It improves swallowing ability and helps stop involuntary urination', 'It helps to prevent constipation', 'It is effective to get relief from gout and sciatica', 'It helps to get relief from digestive problems and promotes digestion', 'It improves gut health and helps boost immunity']",['Apium graveolens'],0.0,0
Happy Chords Syrup,100 ml,100.0,100.0,https://www.1mg.com/otc/happy-chords-syrup-otc825898,M Bhattacharyya & Co Pvt Ltd,"['It can help to enhnece your immune system and improve your quality of life', 'It can help to maintain an excellent respiratory system', 'It may help to prevent sore throat, cold, chest congestion and dry cough', 'It can help to prevent viral and bacterial infections', 'It may help to condition viral fever and its associated weeakness']","['Ocimum SancQ', 'Bryonia AlbQ', 'Cassia SophQ', 'Justicia AQ', 'Passiflora IncQ', 'Natrum Sulph', 'Kali Sulph']",0.0,0
Dr Willmar Schwabe India Radium Bromide Dilution 10M CH,10 ml,205.0,205.0,https://www.1mg.com/otc/dr-willmar-schwabe-india-radium-bromide-dilution-10m-ch-otc405920,Dr Willmar Schwabe India Pvt Ltd,"['Helps to solve Vertigo in which the pain is in the back of head especially on the left side', 'It is indicated in trifacial neuralgia', 'Helpful to treat stomach ailments like the feeling of full of gas with nausea and sinking sensation', 'Reduces the pain in the limbs especially in the knee and ankle joints', 'It is indicated in inflammation of kidneys with excessive excretion of salt', 'It is also of great use in renal irritation with protein in urine and hyaline casts']",['Bromide salt'],0.0,0
Bakson's Homeopathy Galega Officinalis Dilution 200,30 ml,115.0,107.0,https://www.1mg.com/otc/bakson-s-homeopathy-galega-officinalis-dilution-200-otc762076,Bakson Drugs & Pharmaceuticals Pvt. ltd.,"['It is helpful for reducing fevers', 'It has the ability to bring down the increased blood sugar levels', 'It helps in fighting off the infections and preventing fatal blood clots formation']",['Galega Officinalis Dilution'],0.0,0
Dr. Reckeweg Acid Nitricum Dilution 1000 CH,11 ml,210.0,210.0,https://www.1mg.com/otc/dr.-reckeweg-acid-nitricum-dilution-1000-ch-otc335587,Dr Reckeweg & Co,"['Mind: Helps deal with irritability, anger, and aggression due to sleep deprivation ', 'Head: It helps manage headaches which are triggered by hat pressure, resulting in a full feeling', 'Nose: It helps manage nasal symptoms include sneezing, allergies, a runny nose, and recurrent colds and coughs, along with nosebleeds', 'Mouth: This dilution helps deal with bleeding gums, excessive saliva production with blood, and a clean tongue with loose gums ', 'Abdomen: It helps manage a burning sensation in the stomach and an increased appetite, particularly for fatty foods and salt', 'Rectum: It eases rectal problems including constipation', 'Urine: It helps manage urinary issues comprising reduced urine output and a burning sensation during urination', 'Skin: It promotes skin health ']",['Acidum Nitricum'],4.5,199
SBL Pinus Sylvestris Dilution 30 CH,30 ml,105.0,105.0,https://www.1mg.com/otc/sbl-pinus-sylvestris-dilution-30-ch-otc356107,SBL Pvt Ltd,"['Helps in treatment of rickets', 'Useful in bone infections', 'Strengthens joints', 'Cures rheumatism', 'Helpful in bronchial disorders', 'Helpful in nettle rash', 'Soothes cramps in the calves']","['Plant extract of scots pine', 'Ethanol', 'Water']",0.0,0
Bakson's Homeopathy Citrus Limonum Dilution 10M,30 ml,315.0,296.0,https://www.1mg.com/otc/bakson-s-homeopathy-citrus-limonum-dilution-10m-otc805018,Bakson Drugs & Pharmaceuticals Pvt. ltd.,"['It improves blood circulation and treats conditions associated with haemorrhages', 'It can be used to promote faster healing of cuts and wounds', 'Acts as an antispasmodic agent and prevents convulsion and muscle spasms']",['Citrus limonum'],0.0,0
