_id,max_discount_percentage,min_discount_percentage
Rxhomeo Private Limited,36,0
Sett Dey & Co (Homeo) Lab,28.69565217,0
Homeotrade,25.03597122,0
Dr Willmar Schwabe India Pvt Ltd,24.88888889,0
Similia Homoeo Laboratory,18.94736842,0
Bjain Pharmaceuticals Pvt. Ltd.,18.46153846,0
Dr. Majumder Homeo World,18.01282051,0
Bio-India Pharma Pvt Ltd,17.93650794,0
Adel Pekana Germany,17.91304348,0
Dr Reckeweg & Co,17.89473684,0
Bakson Drugs & Pharmaceuticals Pvt. ltd.,17.6744186,0
New Life Laboratories Pvt Ltd,16,0
Healing Herbs UK,15,15
SBL Pvt Ltd,14.16666667,0
Lord's Homoeopathic Laboratory Pvt Ltd,14.11764706,0
LDD Bioscience Pvt Ltd,11.875,0
German Homoeo Care and Cure Pvt. Ltd.,11.875,11.875
Wheezal Homoeo Pharma,8,0
Medisynth Chemicals Pvt Ltd,6.857142857,0
HAPDCO,6.285714286,0
Adven Biotech Pvt Ltd,5.263157895,0
Renovision Exports Pvt Ltd,3.888888889,0
Medilexicon,3.125,3.125
Radient Pharma,3.076923077,3.076923077
Hahnemann Publishing Co. Pvt. Ltd.,3.076923077,3.076923077
Boericke Homoeo Pharmacy,3.012820513,0
Neon Homoeopathy,2.976190476,2.976190476
Father Muller Charitable Institutions,2.857142857,0
Gurudev Veterinaries,2.777777778,2.777777778
Allen Homoeo & Herbal Products Ltd,2.608695652,0
Allen Healthcare,0,0
Bhargava Phytolab,0,0
Bahola Labs,0,0
St. George’s Homoeopathy,0,0
HASLAB,0,0
Dr. Romas Homeopathy,0,0
Ralson Remedies Pvt Ltd,0,0
Hering Pharma,0,0
Nanak Laboratories Pvt Ltd,0,0
Kent Pharmaceuticals,0,0
Healwell International Limited,0,0
Hapro Homeo Chem Pvt Ltd,0,0
Fourrts India Laboratories Pvt Ltd,0,0
Organon Homoeo Laboratory Pvt Ltd.,0,0
Guru Tegh Bahadur Pharma,0,0
Ankur Pharmaceutical,0,0
Dr Willmar Schwabe Germany,0,0
Boericke Research Laboratory,0,0
M Bhattacharyya & Co Pvt Ltd,0,0
