Key Ingredient,Average Cost
A medicinal plant native to Cerrado vegetation in Brazil,220
A plant commonly known as horse-gentians,120
A plant in the bloodwort family,120
Abies Nigra,189
Abies canadensis,296
Abroma Augusta,79
Abroma Radix,1279
Abrotanum,123.8142857
Abrus Precatorius,1289
Absinthium,129.55
Acalypha,150
Acetanilidum/ Antifebrinum,74.7
Acid Phos,250
Acid carb,92.2
Acidum Butyricum Dilution (contains acid obtained chiefly from butter),105
Acidum Carbolicum,165
Acidum Citirum,105
Acidum Nitricum,210
Acidum Phosphoricum,217.1428571
Acidum Picricum,215
Acidum Salicylicum,780
Acidum Uricum,520
Acidum carbolicum,1107.5
Acidum fluoricum 3x,162
Acidum gallicum,92.2
Acidum muriaticum,74.7
Acidum phosphoricum HPI 3x,500
Acidum phosphoricum,239
Acidum sulfuricum,234
Aconitum Ferox Dilution,486
Aconitum,271
Acorus Calamus,95
Actaea Spicata,150
Adlumia Fungosa,125
Adrenalinum,330
Aesculus Hippocastanum,141.3333333
Aesculus hippocastanum,74.7
Aethusa Cynapium,174
Agaricus Muscarius,214
Agave Americana,190.5
Agele Folia,85
Agnus Castus,180
Agnus castus,202
Alfalfa,195
Alfalfa,320
Alfalfa,160
Alfalfa,92
Allium Cepa,180
Allium Sativum,113.2857143
Alloxan,150
Aloe Socotrina,1770
Alumina Phosphorica,105
Alumina,189
Ambrosia Artemisiaefolia,108
Ammonium Muriaticum,92.2
Ammonium Picricum,125
Anacardium Orientale,158
Antimonium Crudum,82
Antimonium Sulph Aureum,160
Antimonium crudum,521
Antimonium tartaricum,79.85
Antimonium,176
Apis Mellifica,96
Apis mellifica mother tincture,194
Apis mellifica with alcohol,108.0952381
Apis mellifica,175
Apis mellifica,146
Apium Graveolens,79
Apium graveolens,60
Apocynum Cannabinum,74.7
Areca Catechu,105
Arg Phosphoricum,105
Argemone Mexicana extract,85
Argentum Metallicum,348
Arnica Dilution,196.1904762
Arnica Montana Q,455
Arnica Q,100
Arnica mont,145
Arnica montana,124.35
Ars sulp flav.,145
Arsenicum Album,93.33333333
Arsenicum Iod,120
Arsenicum Sulphuratum Flavum,255
Arsenicum Sulphuratum Flavum,49.7
Arsenicum album,975
Arsenicum sulph flavum,190
Artemisia Vulgaris,437
Asafoetida,97.5
Asarum Europaeum,223
Ashwagandha,190
Asparagus Officinalis,213.5
Atista Indica,92.9
Atropinum sulphuricum 5x 12.5 mg,210
Aurum Arsenicicum,131
Aurum Metallicum,320
Avena Sativa,85.5
Aviaire,108
Azadirachta Indica (Neem),158
Bach Flower Gorse,1275
Back potency,150
Bacopa Monnieri,380.5555556
Balsamum Peruvianum,93.4
Barium Carbonicum,176
Barium muriaticum,230
Barium,134
Bark of the Copaiba,125
Baryta Carb,200.7142857
Baryta Muriatica,123
Baryta Phosphorica,92.2
Baryta carb 3X,160
BarytaCarbonica 30C,175
Basil,105
Belladonna 3x,160
Belladonna,140.5862069
Bellis Perennis,225
Benzinum Nitricum,125
Berberis Aquifolium Mother Tincture,399
Berberis Aquifolium,455
Berberis Vulgaris D6 1gm,160
Berberis Vulgaris HPI 0.10ml,179
Berberis Vulgaris,214.3333333
Berberis vulg,174
Blatta Orientalis,1560
Blatta orientalis,485
Blend of homoeopathic mixture,190
Blue Cohosh,174
Boerhaavia Diffusa,115
Boerhavia Diffusa,255
Borax,168
Bovista,333.8571429
Bromide salt,205
Bromine,105
Bromine,1031
Bryonia Alba,115.4545455
Bryonia alb,210
Bulb of the onion,148.8095238
Buttercup,105
Cactus Grandiflorus,74.7
Cactus grandiflorus,329
Cactus grandiflorus.2X,472
Cadmium sulfuratum,92.9
Caffeinum,105
Caladium Seguinum,105
Calc. Phos,489
Calc. phosphroica 3x,70
Calcarea Arsenicosa,200.8571429
Calcarea Fluorica,305.6666667
Calcarea Ova Tosta,158
Calcarea Phosphorica,117.2272727
Calcarea Picrata,180
Calcarea Sulphurica,207.375
Calcarea iodata,329
Calcarea phosphorica,112
Calcarea phosphorica,737
Calcarea phosphorica,289
Calcarea phosphorica,100
Calcarea silicata,74.46666667
Calcium,711
Calcuri Biliari,237
Calendula officinalis MT,70
Camphora,121.925
Cannabis sativa,92.2
Caprum Oxi. Nig.,161
Capsicum annum,126
Carbo Vegetabilis,163
Carbo sulph.,145
Cardiospermum Halicacabum,83
Carduus Mar Q,310
Carduus Mar,170
Carduus Marianus,101
Cascara Sagrada,285.2857143
Castanea Vesca,293
Causticum Q,82
Ceanonthus americanus,92.2
Cenchris Contortrix (Sanke poison),105
Cephalandra Indica,60
Cheiranthus cheiri,90
Chelidonium Majus,150
Chenopodium Anthelminticum,74.6
Chimaphila Umbellata,150
China Officianlis,190
China Officinalis,95
Chininum Sulphuricum,233.25
Chinonanthus Virginica,105
Chloralum,329
Chloroformum,296
Chlorum,95
Chrysarobinum 2x,75
Cichorium Intybus,149
Cicuta virosa,296
Cimicifuga Racemosa,161.75
Cimicifuga.,145
Cinchona Officinalis,207
Cineraria maritima,129
Cinnamon,93
Citrus Vulgaris,92.9
Citrus limonum,296
Clematis Erecta,126
Clematis erecta,170
Clematis vitalba,125
Cobaltum Metallicum,150
Cocainum Muriaticum,127.5
Cocainum muriaticum,112
Cocculus Indicus,123
Cocculus indicus,180
Cocculus natural extracts,306.4285714
Cocculus,79.1
Coccus Cacti,105
Codenium p,92.2
Coffea cruda,113
Colchicum Autumnale,255
Collinsonia canadensis,95.76
Colocynthis,89.85
Condurango,209
Conium Maculatum,141
Conium maculatum,79.85
Convolvulus Arvensis,149
Crocus sativus,105
Croton Tiglium,96
Cucurbita Pepo,267
Cuprum Oxy Nigrum,223
Cuprum metallicum,85
Cyclamen,92.2
Daphne Indica,485
Digitalis Purpurea,96
Digitalis purpurea,105
Dioscorea Villosa,138
Dioscorea villosa,74.7
Dolichos,150
Dried thyroid gland of the sheep,100
Drosera rotundifolia,93.4
Dulcamara,78.8
Each 5ml contains:,195
Echinacea Angustifolia Q,70
Echinacea Angustifolia,237
Echinacea Purpurea,167
Eichhornia Crassipes,125
Emblica Officinalis (Amla),105
Equisetum hyemale,198
Eschscholtzia Californica,49.7
Eucalyptus,92
Eupatorium Perfoliatum,105
Eupatorium perfoliatum,410
Euphrasia officinalis,126
Extract of Common boneset plant,170
Extract of Jaborandi herb,270
Extract of perennial woody vine,260
Extract of the Tarentula plant,131
Extract of tylophora indica,296
Extracts from leaves of Aegle folia,1560
Extracts from sticta pulmoniaria plant,105
Extracts from the Croton Tiglium plant,170
Extracts from the crotalus cascavella plant,93.4
Extracts from the vegetable of the plant hyoscyamus niger,74.7
Extracts from vegetable of plant Hyoscyamus niger,110
Extracts of European wind flowering plant,170
Extracts of broom plant flowers,150
Extracts of mugwort plant,145
Extracts of quinine bush or bitterbark,176.45
Extracts of whole blooming hypericum plant,161
Extracts of whole blooming hypericum plant.,150
Fel Tauri,105
Ferr. phos. 3x,280
Ferrum Bromatum,135
Ferrum Magneticum,149
Ferrum Phosphoricum,699
Ferrum phos,113
Ferrum phos.3x,521
Ferrum phosphoricum - 3x,92.2
Ferrum phosphoricum,92.3
Ferrum phosphoricum,631
Ferrum sulphuricum,302
Ficus indica,184
Folliculin,105
Formica Rufa,180
Fresh bark of pricky ash plant,120
Fucus vesiculosus with alcohol,283
Galega Officinalis Dilution,107
Gambogia,93.4
Gelsemium Sempervirens,174
Geranium Maculatum Extract,293
Ginseng,353.95
Glechoma Hederacea,149
Glonoinum,336.5
Gnaphalium Polycephalum,86.5
Gossypium Herbaceum,201.65
Granatum,129.6125
Graphites,136
Graviola Officinalis,235
Guaiacum,105
Guarea trichiloides,120
Guatteria Gaumeri,307
Guatteria gaumeri,260
Hamamelis Virginica,334.5238095
Hamamelis virginica,174.9
Harungana Madagascariensis,104
Hekla Lava,174
Helianthus annus with alcohol,105
Helleborus Niger,105
Helonias Dioica,722
Histamine Hydrochloride,110
Homeopathic Formulation,180.4761905
Homoeopathic Ingredients,195
Hydrangea Arborescens,586
Hydrangea Arborescens,105
Hydrocotyle Canadensis,550
Hygrophila auriculata,105
Hypophysine,105
Ignatia Amara,223
Ignatia amara,74.7
Indigo,105
Insulinum,222.8571429
Iodium With Alcohol,255
Iodium with alcohol,185
Ipecacuanha,148
Ipecacuanha,126.35
Iris Vers,168
