name,size_of_the_bottle,MRP_of_the_bottle,price_of_the_bottle,1mg_url,brand_name,key_benefits,key_ingredients,rating,number_of_rating
SBL Saccharum Lactis Dilution 200 CH,30 ml,120,120.0,https://www.1mg.com/otc/sbl-saccharum-lactis-dilution-200-ch-otc358043,SBL Pvt Ltd,"['Effective for cold pains produced by fine', 'icy cold needle', 'frost bites', 'physical exhaustion', 'Treats problems related to diuresis', 'amblyopia', 'Useful for anal pruritus', 'chronic conditions of women and children', 'leg ulcers', 'Helps to treat anemia', 'Helps to cure constipation', 'Helps in combating infection and putrefaction', 'Helps in maintaining weight and power']",['Sucrose'],4.5,34
LDD Bioscience Passiflora Incarnata Mother Tincture Q,100 ml,275,275.0,https://www.1mg.com/otc/ldd-bioscience-passiflora-incarnata-mother-tincture-q-otc691736,LDD Bioscience Pvt Ltd,"['It works to help people suffering from restlessness', 'sleeplessness and anxiety', 'It gives relief to people suffering from muscle cramps due to mensuration and dysentery', 'It is used to regulate high blood pressure and associated sypmtoms']",['Passiflora Incarnata'],4.4,54
LDD Bioscience Ashwagandha Mother Tincture Q,100 ml,190,190.0,https://www.1mg.com/otc/ldd-bioscience-ashwagandha-mother-tincture-q-otc691801,LDD Bioscience Pvt Ltd,"['It is commonly used to boost immunity', 'It helps in improving rheumatic pain', 'It effectively works in depression', 'relieving mental stress as it is a great adatogen', 'It works to effectively provide relief from inflammation', 'It works in regulating blood pressure', 'It works to improve mental clarity boosting sharp memory']",['Ashwagandha'],4.2,104
SBL Veratrum Album Dilution 12 CH,30 ml,105,105.0,https://www.1mg.com/otc/sbl-veratrum-album-dilution-12-ch-otc359090,SBL Pvt Ltd,"['Used in case of collapse', 'with extreme coldness', 'blueness and weakness', 'Relieves from profuse vomiting and nausea after drinking', 'Helpful in cold perspiration', 'on the forehead', 'Provides relief from sadness of mind with stupor', 'mania and indifference', 'Helpful in headache with nausea', 'vomiting and diarrhea', 'Treats empty and cold feeling in stomach and abdomen', 'Helpful in inactivity of rectum', 'with constipation and headache', 'Helps get rod of pressure in the abdomen with severe colic', 'Treats severe cough', 'Treats heart troubles with liver affections', 'Remedy for early menses with heavy flow']",['Veratrum Album'],4.7,37
LDD Bioscience Kalmegh Mother Tincture Q,100 ml,190,190.0,https://www.1mg.com/otc/ldd-bioscience-kalmegh-mother-tincture-q-otc691744,LDD Bioscience Pvt Ltd,"['It works in the treatment of liver issues', 'like enlargement and infection due to contamination', 'It helps with appetite improvement and digestion', 'It provides relief from abdominal pains caused by liver complications and indigestion', 'It is effective in treatment for the common cold and related symptoms']",['Kalmegh'],4.5,105
SBL Arnica Montana 0/26 LM,20 gm,200,200.0,https://www.1mg.com/otc/sbl-arnica-montana-0-26-lm-otc360850,SBL Pvt Ltd,"['Provides effective relief from fainting', 'dizziness and pain in the head', 'Helps in treating retinal haemorrhages and swelling in eyes', 'It is primarily used for the treatment of post injury bruises and sores', 'Extremely beneficial for those who are sensitive to medical injuries and are prone to suffer from motion sickness', 'Reduces swelling and soreness in the injured area', 'Restricts bleeding around the injured area', 'Provides effective relief from pain in the chest and breathing difficulties']",['Arnica Dilution'],4.4,16
Dr. Reckeweg Pyrogenium Dilution 200 CH,11 ml,170,170.0,https://www.1mg.com/otc/dr.-reckeweg-pyrogenium-dilution-200-ch-otc331717,Dr Reckeweg & Co,"['Specifically tailored to alleviate symptoms of high fever and chills', '""May be helpful in the management of septic conditions', 'supporting the bodys natural healing process""', 'Potentized with natural ingredients derived from Pyrogenium', 'offering a gentle yet effective approach to addressing fever and septic concerns', 'Promotes relief from fever-related discomfort', 'assisting in overall well-being', '""Supports the bodys natural defences by targeting specific fever and septic symptoms', 'contributing to improved health""']",,4.7,65
LDD Bioscience China Officinalis Mother Tincture Q,100 ml,190,190.0,https://www.1mg.com/otc/ldd-bioscience-china-officinalis-mother-tincture-q-otc691773,LDD Bioscience Pvt Ltd,"['It is commonly used for treating fever', 'It helps with indigestion issues', 'including bloating and diarrhoea', 'It helps ease the pain of haemorrhoids', 'It works to effectively ease chronic liver problems', 'It helps in preventing debility and anaemia']",['China Officianlis'],4.3,29
Wheezal WL32 Renal Pain Drop,30 ml,175,174.0,https://www.1mg.com/otc/wheezal-wl32-renal-pain-drop-otc387904,Wheezal Homoeo Pharma,"['Wheezal WL32 Renal Pain Drop corrects pee colouring and relieves burning feeling at the bladder area', 'It is mainly used to deal with renal discomfort and its related conditions', 'It offers relief from painful urination', 'It is very helpful in cleansing and detoxifying kidneys', 'It also helps to reduce kidney stone formation and the size of already existing kidney stones', 'It binds calcium in the urinary tract and helps in the reduction of urinary calcium crystals', 'Its homoeopathic composition is safe to use and has no adverse effects; and finally', 'it relieves severe distress that can result from renal pain after urinating']","['Berberis vulg', 'Aco Nap', 'Lycopodium', 'Cantharis', 'Sarsaparilla', 'Rubia Tinc']",0.0,0
REPL Dr. Advice No.61 Liver Troubles Drop,30 ml,180,180.0,https://www.1mg.com/otc/repl-dr.-advice-no.61-liver-troubles-drop-otc339396,Renovision Exports Pvt Ltd,,,4.3,21
SBL Jacaranda Caroba Mother Tincture Q,30 ml,220,220.0,https://www.1mg.com/otc/sbl-jacaranda-caroba-mother-tincture-q-otc338699,SBL Pvt Ltd,"['Relieve the pain and heat in penis with painful erections as well as the pain and inflammation and pricking in and around urethra with yellow discharge', 'Reduces the prepuce pain and swollen', 'itching pimples on glans and prepuce', 'Diminish the soreness and stiffness of muscles in the morning', 'Sexually transmitted bacterial infection causing gonorrhoea and syphilitic arthritis are treated', 'Recovers the body from the feeling of nausea', 'vomiting', 'hiccoughs and belching', 'Reduces the painful stitch between pit of stomach and umbilicus', 'inside of navel and in heart', 'extending to right side', 'Relieve from the rheumatic pains in left arm and red spots with the yellowish pellicle on wrist']",['A medicinal plant native to Cerrado vegetation in Brazil'],4.5,41
SBL Arsenicum Album 0/22 LM,20 gm,200,200.0,https://www.1mg.com/otc/sbl-arsenicum-album-0-22-lm-otc360883,SBL Pvt Ltd,"['It provides relief from acidity and indigestion', 'It is also helpful in relieving stress and anxiety', 'Relives anxiety related to recurrent health problems by preventing them', 'Helps in treating respiratory ailments such as cough', 'wheezing and breathing difficulties', 'Helps in healing skin related ailments such as Oedema', 'swelling', 'ulcers and pustules', 'Useful in treating fever and wekaness caused due to it']",['Arsenicum Album'],4.7,22
LDD Bioscience Hydrastis Canadensis Mother Tincture Q,100 ml,550,550.0,https://www.1mg.com/otc/ldd-bioscience-hydrastis-canadensis-mother-tincture-q-otc691761,LDD Bioscience Pvt Ltd,"['It works in the treatment of coryza and catarrh', 'It improves digestion and physical debility', 'It gives relief to people suffering from ulcers', 'It helps ease menstruation pains', 'It works to improve appetite', 'It is used in cases of ear pain and eczema']",['Hydrocotyle Canadensis'],4.2,48
Bjain Cucurbita Pepo Mother Tincture Q,100 ml,295,267.0,https://www.1mg.com/otc/bjain-cucurbita-pepo-mother-tincture-q-otc445551,Bjain Pharmaceuticals Pvt. Ltd.,"['Helps in treating intense nausea', 'Helps to provide relief in vomiting caused due to pregnancy', 'Assists in reducing seasickness']",['Cucurbita Pepo'],0.0,0
Pioneer Pharma P21 Rheumatic Drop,30 ml,160,160.0,https://www.1mg.com/otc/pioneer-pharma-p21-rheumatic-drop-otc643496,Homeotrade,"['It is used in the treatment of rheumatoid arthritis', 'It helps alleviate pain in joints', 'tendons', 'ligaments and bones']","['Berberis Vulgaris D6 1gm', 'Causticum D12 1gm', 'Dulcamara D6 1gm', 'Nux vomica D6 1gm', 'Rhododendron D6 1gm', 'Rhutoxicodendron D6 1gm', 'Alcohol content/ethanol 36%.v/v', 'Acqua Distillata Q.S']",0.0,0
LDD Bioscience Guatteria Gaumeri Plus,30 ml,260,260.0,https://www.1mg.com/otc/ldd-bioscience-guatteria-gaumeri-plus-otc628261,LDD Bioscience Pvt Ltd,"['It helps in controlling lipid and lipoprotein abnormalities', 'It aids in hypercholesterolemia']","['Guatteria gaumeri', 'Alcohol content 60% v/v']",3.9,12
SBL Argentum Phosphoricum Dilution 12 CH,30 ml,105,105.0,https://www.1mg.com/otc/sbl-argentum-phosphoricum-dilution-12-ch-otc351113,SBL Pvt Ltd,"['SBL Argentum Phosphoricum Dilution is beneficial for relieving neurological issues such as tremors', 'It aids in relieving pain in the bones and helps reduce inflammation', 'It also helps in relieving backache', 'Sciatica and aids in reducing hoarseness and difficulty in swallowing']",['Arg Phosphoricum'],0.0,0
SBL Thallium Metallicum Dilution 1000 CH,30 ml,150,150.0,https://www.1mg.com/otc/sbl-thallium-metallicum-dilution-1000-ch-otc348845,SBL Pvt Ltd,,['Thallium Metal'],4.9,17
LDD Bioscience Berberis Aquifolium Mother Tincture Q,100 ml,455,455.0,https://www.1mg.com/otc/ldd-bioscience-berberis-aquifolium-mother-tincture-q-otc691796,LDD Bioscience Pvt Ltd,"['It is commonly used for skin problems', 'like eczema', 'psoriasis and blotches', 'It helps with digestive problems and nauseatic issues', 'It effectively works in the treatment for eye-related issues like redness', 'It works to effectively provide relief from rheumatic pain', 'These work in helping individuals suffering from psychological issues who lack a sense of motivation', 'It works in relieving pain caused by vaginal issues']",['Berberis Aquifolium'],4.4,19
ADEL Kalmia Lat Dilution 30,10 ml,155,155.0,https://www.1mg.com/otc/adel-kalmia-lat-dilution-30-otc327208,Adel Pekana Germany,"['It may help in managing Cervical spondylitis', 'It may relieve pain of Rheumatism', 'It may help in managing Spondylitis', 'It may reduce pain Lumbago', 'It may help in managing Vertigo', 'It may reduce headaches', 'It may help in managing Gout', 'It may help in managing lack of sleep']",['Kalmia latifolia'],0.0,0
ADEL Fucus Ves Mother Tincture Q,20 ml,285,283.0,https://www.1mg.com/otc/adel-fucus-ves-mother-tincture-q-otc327675,Adel Pekana Germany,"['Treats non-toxic goitre and obesity', 'Reduces flatulence and improves digestion and relieves constipation', 'Reduces thyroid enlargement in fat people', 'Relieves from intolerable forehead pain and headache', 'Reduces face flushing and pain in epigastric region', 'In women', 'it helps in improving respiration during menses']",['Fucus vesiculosus with alcohol'],0.0,0
LDD Bioscience Syzygium Jambolanum Mother Tincture Q,100 ml,190,190.0,https://www.1mg.com/otc/ldd-bioscience-syzygium-jambolanum-mother-tincture-q-otc691587,LDD Bioscience Pvt Ltd,"['It helps in cases of increased levels of blood sugar levels and its many complications', 'Useful for mouth dryness', 'extreme thirst', 'urination and increased appetite', 'It provides relief from tingly feeling in the arms and the legs associated with an increased in blood sugar levels']",['Syzygium Jambolanum'],4.4,25
