name,size_of_the_bottle,MRP_of_the_bottle,price_of_the_bottle,1mg_url,brand_name,key_benefits,key_ingredients,rating,number_of_rating
Bakson's Homeopathy Coffea Cruda Mother Tincture Q,30 ml,120.0,113.0,https://www.1mg.com/otc/bakson-s-homeopathy-coffea-cruda-mother-tincture-q-otc766811,Bakson Drugs & Pharmaceuticals Pvt. ltd.,"['It relieves pains that are felt intensely and seem insupportable', 'It boosts immunity and improves the metabolism function of the body', 'It help to get rid of the sleepless, wide awake condition, impossible to close eyes and on account mental activity', 'It can ease headaches and relieve chronic pain in the body', 'It improves gut health and well-being of the body']",['Coffea cruda'],0,
LDD Bioscience Alfalfa Dilution 30 CH,30 ml,95.0,92.0,https://www.1mg.com/otc/ldd-bioscience-alfalfa-dilution-30-ch-otc841227,LDD Bioscience Pvt Ltd,"['It helps in improving appetite and supports weight gain', 'It improves mental and physical vigour', 'It helps in improving deficient lactation', 'It reduces headaches and abdominal pain', 'It is helpful in reducing frequent urination', 'It is useful for kidney and prostate conditions', 'It regulates high cholesterol level', 'It is useful for asthma and arthritis', 'It helps in controlling blood sugar levels', 'It helps to relieve pain from gas in the stomach', 'It boosts the immune system']",['Alfalfa'],0,
Bakson's Homeopathy Cinnamonum Dilution 30,30 ml,100.0,93.0,https://www.1mg.com/otc/bakson-s-homeopathy-cinnamonum-dilution-30-otc758009,Bakson Drugs & Pharmaceuticals Pvt. ltd.,"['This tincture eases menstrual pains and also helps with profuse and prolonged bleeding', 'It helps in managing intestinal haemorrhages']",['Cinnamon'],0,
Bakson's Homeopathy Hamamelis Virginica Dilution CM,30 ml,375.0,352.0,https://www.1mg.com/otc/bakson-s-homeopathy-hamamelis-virginica-dilution-cm-otc762848,Bakson Drugs & Pharmaceuticals Pvt. ltd.,"['This dilution can be effective in dealing with haemorrhages and haemorrhoids', 'It can help cope with bruised soreness due to bleeding and swelling', 'It can provide relief in several wounds and weakness due to blood loss']",['Hamamelis virginica'],0,
ADEL Bovista. Dilution 6,10 ml,145.0,145.0,https://www.1mg.com/otc/adel-bovista.-dilution-6-otc770008,Adel Pekana Germany,"['The dilution improves the grip on the hands, when everything seems to fall from the hands', 'It reduces the pain in the head that increases early in the morning', 'It minimises scalp itching which is painful that gives the feeling to scratch until its sore', 'It is a remedy for pimples that arise due to the use of excessive cosmetics', 'It reduces loose motions before and after periods when they come early with heavy flow', 'It is a remedy for colicky pains']",['Puff Ball'],0,
Hering Pharma Insulinum Trituration Tablet 6X,450 gm,660.0,660.0,https://www.1mg.com/otc/hering-pharma-insulinum-trituration-tablet-6x-otc642684,Hering Pharma,"['It is beneficial in the treatment of diabetes', 'It restores the lost ability to oxidize carbohydrates and glycogen in the liver']",['Insulinum'],0,
SBL Baryta Carbonicum Dilution 200 CH,30 ml,120.0,120.0,https://www.1mg.com/otc/sbl-baryta-carbonicum-dilution-200-ch-otc346002,SBL Pvt Ltd,"['Reduces the loss of memory, short attention span, confusion, language difficulties, irritability and impaired judgment', 'Best remedy for the tendency of tonsillitis, particularly in scrofulous children', 'Reduces the swelling up of the mucous lining with trouble in swallowing and inflammation of tonsils with the formation of pus', 'Helps to reduce the enlargement of glands in the neck, or under the jaw and behind the ear', 'Helps in digestion, hiccoughs, and eructation, which relieves pressure as of a stone', 'Pain and weight immediately after a meal, with epigastric tenderness, is improved', 'Manages the talking, awakening frequently and twitching during sleep']",['Baryta Carb'],4.5,240
Wheezal Geranium Mac. Dilution 10M,30 ml,315.0,293.0,https://www.1mg.com/otc/wheezal-geranium-mac.-dilution-10m-otc917625,Wheezal Homoeo Pharma,"['Regulates menstrual cycles and alleviates symptoms of menstrual disorders such as irregular periods, excessive bleeding, and menstrual cramps', 'Provides relief from respiratory ailments like cough, cold, bronchitis, and asthma by reducing inflammation and promoting clear airways', 'Supports skin health and aids in the management of various skin conditions such as acne, eczema, and dermatitis by soothing irritation and promoting regeneration', 'Acts as a natural astringent and anti-inflammatory agent, making it beneficial for wound healing and reducing inflammation in the body', 'Helps alleviate symptoms of anxiety, depression, and stress, promoting emotional well-being and mental clarity']",['Geranium Maculatum Extract'],0,
LDD Bioscience Bio-Combination 14 Measles Tablet,450 gm,650.0,631.0,https://www.1mg.com/otc/ldd-bioscience-bio-combination-14-measles-tablet-otc779443,LDD Bioscience Pvt Ltd,"['It might be helpful in the treatment of respiratory disorders such as coryza, throat infection and cough', 'Helpful in the treatment of stomach related disorders such as nausea, vomiting and dysentery', 'Effective in treating severely painful headache which irritates the eyes', 'It might be used as a laxative agent to treat constipation and to relieve pressure in the rectum']","['Ferrum phosphoricum', 'Kali muriaticum', 'Kali sulphuricum']",0,
Medisynth Bio-chemic Combination No.25 Acidity & Indigestion,25 gm,105.0,105.0,https://www.1mg.com/otc/medisynth-bio-chemic-combination-no.25-acidity-indigestion-otc885121,Medisynth Chemicals Pvt Ltd,"['Relieves the acidity in children fed with excess milk and sugar and reduces burping and belching', 'It helps in flatulence after eating, a rumbling sensation down the descending colon colic, and pressure with acidity', 'The formulation helps reduce the yellow complexion and the thirst for something cold', 'These tablets help alleviate bilious vomiting, acid dyspepsia, heartburn and burning sensation in the abdomen and anus']","['Natrum Phosphoricum 3x', 'Natrum Sulphuricum 3x', 'Silicea 12x']",0,
