name,size_of_the_bottle,MRP_of_the_bottle,price_of_the_bottle,1mg_url,brand_name,key_benefits,key_ingredients,rating,number_of_rating
Bakson's Homeopathy Lithium Benzoicum Dilution 10M,30 ml,315.0,296.0,https://www.1mg.com/otc/bakson-s-homeopathy-lithium-benzoicum-dilution-10m-otc765302,Bakson Drugs & Pharmaceuticals Pvt. ltd.,"['It improves frequent desire to urinate and uneasiness in the bladder', 'Beneficial for bladder irritation and gallstones', 'It can help diminish uric acid deposits in the urine', 'It can improve deep pains in the loins']",['Lithium Benzoicum'],0,0
Bjain Bacopa Monnieri Dilution 1000 CH,30 ml,140.0,123.0,https://www.1mg.com/otc/bjain-bacopa-monnieri-dilution-1000-ch-otc434315,Bjain Pharmaceuticals Pvt. Ltd.,"['The medicine is useful in the case of impaired memory, absent-mindedness and shortness of memory', 'It is beneficial in enhancing the memory power and has been known to improve learning abilities', 'It assist in relieving tension and lowering the blood pressure', 'The product works as a nerve and cardiac tonic']",['Bacopa Monnieri'],0,0
Dr. Reckeweg Chininum Sulphuricum Trituration Tablet 3X,20 gm,255.0,253.0,https://www.1mg.com/otc/dr.-reckeweg-chininum-sulphuricum-trituration-tablet-3x-otc326943,Dr Reckeweg & Co,"['It is primarily used to ease conditions associated with malaria such as fever and headache', 'Relieves neuralgic pains, especially under the eyes and around the orbit', 'Excellent remedy for the alleviation of rheumatic pains and relieves soreness in muscle joints', 'Helpful in correcting urinary disorders including discoloration and increased urge to urinate', 'Useful in skin disorders such as eruptions, itchiness, rashes and vesicles', 'Highly effective in relieving the pain in the pelvic region caused due to nephritis', 'May reduce swelling of the various body parts including face, legs and feet', 'Helps relieve pain or burning sensation while urinating caused due to chronic nephritis', 'It can also be used to stimulate appetite and ease conditions of nausea and indigestion']",['Chininum Sulphuricum'],0,0
Dr. Reckeweg Plumbum Met Dilution 200 CH,11 ml,170.0,170.0,https://www.1mg.com/otc/dr.-reckeweg-plumbum-met-dilution-200-ch-otc331727,Dr Reckeweg & Co,"['The dilution provides relief from muscle weakness, cramps, and spasms', 'It supports the management of neurological ailments', 'It helps in digestive issues, including constipation and abdominal discomfort']",['Plumbum Metallicum (Metallic Lead)'],4.5,47
Dr Willmar Schwabe India Hygrophilla Spinosa Dilution 6 CH,30 ml,105.0,105.0,https://www.1mg.com/otc/dr-willmar-schwabe-india-hygrophilla-spinosa-dilution-6-ch-otc404075,Dr Willmar Schwabe India Pvt Ltd,"['Provides relief from diarrhoea and pain in stomach', 'Beneficial in respiratory ailments such as cough, chest congestion and breathlessness', 'Helps in treating fever accompanied by chills and rashes', 'Relives pain and swelling in body and joints']",['Hygrophila auriculata'],0,0
Dr Willmar Schwabe India Alumina Phosphorica Dilution 30 CH,30 ml,105.0,105.0,https://www.1mg.com/otc/dr-willmar-schwabe-india-alumina-phosphorica-dilution-30-ch-otc395569,Dr Willmar Schwabe India Pvt Ltd,"['Aids in psychological well-being', 'It is useful in treating mental fatigue and lethargy', 'Aids in proper concentration levels and awareness', 'Improves symptoms like weakness, anxiety, and faint feeling', 'Prevents tearing pains with great weakness and emaciation']",['Alumina Phosphorica'],0,0
Dr Willmar Schwabe India Insulinum Dilution 1000 CH,30 ml,150.0,150.0,https://www.1mg.com/otc/dr-willmar-schwabe-india-insulinum-dilution-1000-ch-otc404169,Dr Willmar Schwabe India Pvt Ltd,"['Useful in the treatment of boils and relieving varicose ulceration', 'Helps to maintain the blood sugar at a normal level', 'Assists in treating ailments like emaciation, debility, and enlarged liver', 'Controls the sugar levels and lowers the sugar excretion in urine']",['Insulinum'],4.5,78
Dr. Reckeweg Cascara Sag Mother Tincture Q,20 ml,315.0,312.0,https://www.1mg.com/otc/dr.-reckeweg-cascara-sag-mother-tincture-q-otc327776,Dr Reckeweg & Co,"['Primarily used as a laxative to treat constipation', 'Helpful in reducing chronic indigestion', 'Reduces pain in the muscles and joints', 'Stomach ache due to constipation and profuse bleeding from the rectum is relieved', 'Excellent remedy to relieve headache and nausea associated with intestinal gas', 'Relieves conditions associated with gallstones and relieves abdominal cramps', 'Effective in treating liver diseases including hepatitis and jaundice']",['Cascara Sagrada'],4.6,16
Dr Willmar Schwabe India Pertussin Dilution 1000 CH,30 ml,150.0,150.0,https://www.1mg.com/otc/dr-willmar-schwabe-india-pertussin-dilution-1000-ch-otc394302,Dr Willmar Schwabe India Pvt Ltd,"['It is primarily used for the treatment of whooping cough and its associated ailments', 'Relives common symptoms of whooping cough such as cough with coryza and difficult breathing', 'Prevents cough attacks that can cause pain the chest and other related problems']",['Pertussin'],0,0
Bjain Abrotanum Mother Tincture Q,30 ml,150.0,132.0,https://www.1mg.com/otc/bjain-abrotanum-mother-tincture-q-otc443737,Bjain Pharmaceuticals Pvt. Ltd.,"['It has tonic properties', 'Treats marasmus of lower extremities with good appetite, metastasis, tuberculous peritonitis, and exudative pleurisy', 'Reduces pains in the umbilical region of new borns, sciatica, gouty deposits, endocarditis due to metastasis of rheumatism', 'Shows antimicrobial properties against malassezia spp., candida albicans and staphylococcus aureus', 'It also helps to remove pimples', 'It externally promotes growth of beards in young men']",['Abrotanum'],0,0
